DesignName,ParticipantID,TrialID,Block,Trial,VV,OC,visualSearchTime,ErrorCount
Preattention,4,172,3,2,ColorSize,Low,2547,0
Preattention,4,173,3,2,ColorSize,Low,6259,0
Preattention,4,174,3,2,ColorSize,Low,2628,0
Preattention,4,175,3,2,ColorSize,Low,2544,0
Preattention,4,176,3,3,ColorSize,High,43957,0
Preattention,4,177,3,3,ColorSize,High,2173,0
Preattention,4,178,3,3,ColorSize,High,2112,0
Preattention,4,179,3,3,ColorSize,High,1426,0
Preattention,4,180,3,3,ColorSize,High,4812,0
Preattention,5,181,1,1,ColorSize,High,7796,0
Preattention,5,182,1,1,ColorSize,High,2294,0
Preattention,5,183,1,1,ColorSize,High,12265,0
Preattention,5,184,1,1,ColorSize,High,2997,0
Preattention,5,185,1,1,ColorSize,High,2209,0
Preattention,5,186,1,2,ColorSize,Medium,1973,0
Preattention,5,187,1,2,ColorSize,Medium,3907,0
Preattention,5,188,1,2,ColorSize,Medium,381,0
Preattention,5,189,1,2,ColorSize,Medium,1504,0
Preattention,5,190,1,2,ColorSize,Medium,3183,0
Preattention,5,191,1,3,ColorSize,Low,12109,0
Preattention,5,192,1,3,ColorSize,Low,4375,0
Preattention,5,193,1,3,ColorSize,Low,2677,1
Preattention,5,194,1,3,ColorSize,Low,2399,0
Preattention,5,195,1,3,ColorSize,Low,4969,0
Preattention,5,196,2,1,Size,High,1146,0
Preattention,5,197,2,1,Size,High,756,0
Preattention,5,198,2,1,Size,High,1107,0
Preattention,5,199,2,1,Size,High,692,0
Preattention,5,200,2,1,Size,High,656,0
Preattention,5,201,2,2,Size,Medium,1170,0
Preattention,5,202,2,2,Size,Medium,697,0
Preattention,5,203,2,2,Size,Medium,1148,0
Preattention,5,204,2,2,Size,Medium,338,0
Preattention,5,205,2,2,Size,Medium,589,0
Preattention,5,206,2,3,Size,Low,820,0
Preattention,5,207,2,3,Size,Low,826,0
Preattention,5,208,2,3,Size,Low,826,0
Preattention,5,209,2,3,Size,Low,778,0
Preattention,5,210,2,3,Size,Low,733,0
Preattention,5,211,3,1,Color,High,742,0
Preattention,5,212,3,1,Color,High,555,0
Preattention,5,213,3,1,Color,High,332,0
Preattention,5,214,3,1,Color,High,622,0
Preattention,5,215,3,1,Color,High,646,1
Preattention,5,216,3,2,Color,Medium,584,0
Preattention,5,217,3,2,Color,Medium,1529,0
Preattention,5,218,3,2,Color,Medium,675,0
Preattention,5,219,3,2,Color,Medium,799,0
Preattention,5,220,3,2,Color,Medium,507,0
Preattention,5,221,3,3,Color,Low,318,0
Preattention,5,222,3,3,Color,Low,649,0
Preattention,5,223,3,3,Color,Low,517,0
Preattention,5,224,3,3,Color,Low,596,0
Preattention,5,225,3,3,Color,Low,363,0
Preattention,6,226,1,1,Color,Low,1208,0
Preattention,6,227,1,1,Color,Low,577,0
Preattention,6,228,1,1,Color,Low,685,0
Preattention,6,229,1,1,Color,Low,442,0
Preattention,6,230,1,1,Color,Low,391,0
Preattention,6,231,1,2,Color,High,521,0
Preattention,6,232,1,2,Color,High,524,1
Preattention,6,233,1,2,Color,High,540,0
Preattention,6,234,1,2,Color,High,478,0
Preattention,6,235,1,2,Color,High,490,0
Preattention,6,236,1,3,Color,Medium,487,0
Preattention,6,237,1,3,Color,Medium,526,0
Preattention,6,238,1,3,Color,Medium,627,0
Preattention,6,239,1,3,Color,Medium,512,0
Preattention,6,240,1,3,Color,Medium,469,0
Preattention,6,241,2,1,ColorSize,Low,2312,1
Preattention,6,242,2,1,ColorSize,Low,1782,0
Preattention,6,243,2,1,ColorSize,Low,1270,0
Preattention,6,244,2,1,ColorSize,Low,4555,0
Preattention,6,245,2,1,ColorSize,Low,2349,0
Preattention,6,246,2,2,ColorSize,High,1378,0
Preattention,6,247,2,2,ColorSize,High,1911,0
Preattention,6,248,2,2,ColorSize,High,1731,0
Preattention,6,249,2,2,ColorSize,High,9327,0
Preattention,6,250,2,2,ColorSize,High,2157,0
Preattention,6,251,2,3,ColorSize,Medium,1929,0
Preattention,6,252,2,3,ColorSize,Medium,1138,0
Preattention,6,253,2,3,ColorSize,Medium,1541,1
Preattention,6,254,2,3,ColorSize,Medium,4429,0
Preattention,6,255,2,3,ColorSize,Medium,2355,0
Preattention,6,256,3,1,Size,Low,1157,0
Preattention,6,257,3,1,Size,Low,711,0
Preattention,6,258,3,1,Size,Low,683,0
Preattention,6,259,3,1,Size,Low,681,0
Preattention,6,260,3,1,Size,Low,706,0
Preattention,6,261,3,2,Size,High,679,0
Preattention,6,262,3,2,Size,High,556,0
Preattention,6,263,3,2,Size,High,685,0
Preattention,6,264,3,2,Size,High,996,0
Preattention,6,265,3,2,Size,High,737,0
Preattention,6,266,3,3,Size,Medium,559,0
Preattention,6,267,3,3,Size,Medium,643,0
Preattention,6,268,3,3,Size,Medium,609,0
Preattention,6,269,3,3,Size,Medium,766,0
Preattention,6,270,3,3,Size,Medium,568,0
